city,district,cold_price,object_age,flat_area,room_count,distance_to_centre
Lüneburg,Kaltenmoor,540.21,53,57.53,2,0.047103858
Lüneburg,Kaltenmoor,522.13,53,57.63,2,0.047103858
Reinfeld,Reinfeld,685,1,57.44,2,213.7865141
Bad Segeberg,Bad Segeberg,970,0,82.8,3,1.02032288
Hamburg,Ottensen,3330,,106,4,6.046014551
Hamburg,Othmarschen,1860,9,98.2,3,1.144063854
Hamburg,HafenCity,2650,13,88,2,6.169952621
Hamburg,Rotherbaum,3675,,107,3,2.695327769
Hamburg,Rotherbaum,2415,123,110.21,3,0.232012995
Hamburg,Rotherbaum,2415,123,115,3,0.232012995
Hamburg,Stellingen,1190,64,50,2,1.633255769
Hamburg,Harvestehude,2574.74,0,117.5,3,0.562511202
Hamburg,St. Georg,900,63,45,1.5,0.19325156
Hamburg,Wilhelmsburg,520,,40,1,5.182118283
Hamburg,Harvestehude,2840,115,142,4,0.822241424
Hamburg,Kleiner Grasbrook,595.47,,52,3,3.090772728
Hamburg,Kleiner Grasbrook,698.19,,50,2,2.419585743
Hamburg,Hohenfelde,1300,133,60,2.5,0.164487707
Hamburg,Harvestehude,4000,116,255,6.5,1.27347358
Hamburg,Uhlenhorst,650,64,21,1,0.148891494
Hamburg,Hohenfelde,1300,58,40,2,0.101191463
Hamburg,Uhlenhorst,2100,53,115,3,0.276585685
Hamburg,Uhlenhorst,2100,53,115,3,0.276585685
Hamburg,Eppendorf,5800,,210,5,5.693643327
Hamburg,Winterhude,3350,118,214,4,4.415839109
Hamburg,Eppendorf,1145.45,9,56,1,2.532264768
Hamburg,Winterhude,965,68,23.3,1,0.952587219
Hamburg,Winterhude,965,68,23.3,1,0.952587219
Hamburg,Hohenfelde,1080,68,46,2,0.775584382
Hamburg,Hohenfelde,1080,68,46,2,0.775584382
Hamburg,Hohenfelde,1350,71,50.23,2,0.775584382
Hamburg,Hohenfelde,1080,68,46,2,0.775584382
Hamburg,Hohenfelde,1350,71,50.23,2,0.775584382
Hamburg,Barmbek-Süd,1000,103,50,2,1.4285037
Hamburg,Barmbek-Süd,1220,103,56,2,1.4285037
Hamburg,Winterhude,900,55,40,1.5,0.207990137
Hamburg,Wilhelmsburg,500,,39,2,1.174648303
Hamburg,Niendorf,750,37,83,2,4.10355476
Hamburg,Rothenburgsort,438,62,49,2,0.929907684
Hamburg,Hamm,3000,110,125,4,0.89949055
Hamburg,Eilbek,1100,,53,2.5,0.590168554
Hamburg,Iserbrook,1240,4,81,3,0.792387111
Hamburg,Alsterdorf,1980,48,103,3,0.174603808
Hamburg,Barmbek-Nord,1320,79,88,3,0.954630286
Hamburg,Eidelstedt,1120,6,79.01,3,1.649782722
Hamburg,Eidelstedt,1465,6,100.13,3,1.649782722
Hamburg,Eidelstedt,1655,6,112.98,3,1.649782722
Hamburg,Hausbruch,810,33,82.22,3.5,1.031901803
Hamburg,Niendorf,775,63,62.03,1.5,4.035514646
Hamburg,Barmbek-Nord,1650,,105,4,0.510115396
Hamburg,Blankenese,3474.25,123,199,7,2.559769769
Hamburg,Blankenese,2006.4,61,120,4,6.673672076
Hamburg,Barmbek-Nord,1150,993,58,3,0.30456586
Hamburg,Barmbek-Nord,1150,65,58,3,0.30456586
Hamburg,Schnelsen,950,51,85,2.5,1.323348272
Hamburg,Marienthal,1100,72,66,2.5,0.3253298
Hamburg,Alsterdorf,850,39,31,1,3.403347393
Hamburg,Schnelsen,458,54,41,1,4.207718935
Hamburg,Niendorf,1050,51,55,2,0.604145011
Hamburg,Schnelsen,970,25,40,1,0.756698905
Hamburg,Harburg,830,,66,,1.292448008
Hamburg,Harburg,545,69,49.2,2,0.988613155
Hamburg,Harburg,1199,58,78,3,0.59441815
Hamburg,Bramfeld,1158.55,2,68.15,2,1.97428013
Hamburg,Bramfeld,881.63,2,46.92,1,1.95813281
Hamburg,Blankenese,995,57,63,2,4.05509829
Hamburg,Eißendorf,555,73,66.22,2.5,0.887108362
Hamburg,Niendorf,1130,29,71,2,3.200111464
Hamburg,Harburg,511.75,123,48.05,2,0.338966513
Hamburg,Bramfeld,740.32,58,52.88,2,0.459718988
Hamburg,Wilstorf,611,123,47,2,0.705722391
Hamburg,Billstedt,389,61,39,1,7.194326003
Neu Wulmstorf,Neu Wulmstorf,766,23,75.16,2,1.05125421
Hamburg,Rissen,850,53,77.84,3,0.681610699
Hamburg,Rissen,1110,10,78.48,2.5,0.321320042
Hamburg,Rissen,980,10,74.81,2,0.321320042
