city,district,latitude,longitude,geohash,cold_price,currency,object_age,flat_area,room_count,distance_to_centre
Pinneberg,Rabenstr. 48,53.647556,9.779009,u1wcnw0zemm8,420.7,EUR,49,42.07,2,0.231171597
Pinneberg,Rabenstr. 48,53.647556,9.779009,u1wcnw0zemm8,678.1,EUR,49,67.81,2.5,0.231171597
Wedel,Wiedetwiete 2,53.589382,9.704738,u1wbugdubbc5,1415,EUR,3,97.64,3,0.211691707
Hamburg,Rahlstedt,53.628254,10.156944,u1x1p4sp1zn7,1250,EUR,2,63,2.5,2.711141295
Buxtehude,Buxtehude,53.477718,9.707687,u1wbhzkfm90j,496.53,EUR,28,53.39,2,1.513913462
Buxtehude,Buxtehude,53.470341,9.709135,u1wbhvvzr4pb,806.13,EUR,30,67.98,2.5,1.378671523
Seevetal,Maschen,53.397392,10.043946,u1rpu89y2gkf,810.57,EUR,47,79.08,3,0.271929378
Norderstedt,Garstedt,53.7075,9.988721,u1x1e31sf5dh,417.61,EUR,26,42.24,2,2.566455283
Hamburg,Volksdorf,53.604161,10.225093,u1x2bwmdvgvg,2025,EUR,45,170,4,6.34051385
Glinde,Buchenweg 1b,53.534496,10.221009,u1x289dtnc2e,630,EUR,58,50.57,2,0.145717355
Hamburg-Bergedorf,Bergedorf,53.482365,10.201405,u1x220hmmgqy,1586.07,EUR,8,96.4,3,0.594821529
Hamburg-Bergedorf,Bergedorf,53.482761,10.20184,u1x220hz8j72,1320,EUR,8,88,3,0.556086343
Hamburg-Bergedorf,Bergedorf,53.4827,10.202061,u1x220hzm3bh,1361.62,EUR,8,88,3,0.543356311
Hamburg,Volksdorf,53.652016,10.168484,u1x1prh3wuej,1281.02,EUR,33,49.27,2,0.456715873
Buxtehude,Buxtehude,53.467873,9.687176,u1wbhmtbztcy,500,EUR,24,31.45,1,0.299959195
Reinbek,Reinbek,53.545467,10.239372,u1x2958hfwt0,795,EUR,3,59,2,4.223340747
Reinbek,Reinbek,53.545467,10.239372,u1x2958hfwt0,1040,EUR,3,80,2,4.223340747
Reinbek,Reinbek,53.518066,10.238217,u1x22yxjrdxf,428,EUR,,22,1,1.468861937
Buxtehude,Buxtehude,53.463402,9.677616,u1wbhhxnbu3x,1300,EUR,1,91,2,1.058825897
Reinbek,Reinbek,53.518185,10.250141,u1x23nxyj8g0,390,EUR,40,33,1,1.107879597
Reinbek,Reinbek,53.519539,10.250543,u1x23qbjyvnv,485,EUR,67,43.61,2,1.251692022
Wenzendorf,Wenzendorf,53.306242,9.822209,u1qzr807659z,1150,EUR,23,140,4,4.483341343
Apensen,Buxtehuder Straße 8,53.434292,9.616955,u1qzfz6v73cr,1000,EUR,4,82,3,0.003186494
Hollern-Twielenfleth,Siebenhöfen 14,53.590343,9.57019,u1wbcgbf3s4b,675,EUR,,60,2,0.00220885
Buchholz in der Nordheide,Steinbeck,53.324135,9.849136,u1rp257gte0p,720,EUR,40,67,2,1.595034261
Henstedt-Ulzburg,,53.731708,10.027919,u1x1sjw1gkq7,925,EUR,54,138,3,45.24105611
Winsen (Luhe),Winsen,53.365696,10.206568,u1rr86bjwqb8,291,EUR,44,48.51,2,1.371082523
Buchholz in der Nordheide,Sprötze,53.309586,9.831141,u1qzr8wyf5n5,865,EUR,5,84,2,1.528645513
Elmshorn,Kaltenweide 37,53.757816,9.667638,u1wcgfrcbr1r,871.5,EUR,32,83,2,0.012926133
Harsefeld,Harsefeld,53.453506,9.506267,u1wb06fm0pdr,750,EUR,25,71.34,3,0.609465241
Todendorf,Neue Straße 22,53.69096,10.347725,u1x37qnux2qg,800,EUR,27,100,5,
Kaltenkirchen,Jungfernstieg 14,53.837742,9.958087,u1x468g784xb,642.5,EUR,38,55.29,2,0.044733272
Stade,Stade,53.600121,9.446075,u1w8yvw7mdb0,740,EUR,60,71,3,1.937865623
Stade,Stade,53.601059,9.445609,u1w8yvy0f9se,510,EUR,60,57,2,1.973271541
Winsen (Luhe),Rottorf,53.336514,10.310144,u1rr6teeeybe,1350,EUR,0,90,3,0.109370444
Winsen (Luhe),Rottorf,53.336514,10.310144,u1rr6teeeybe,1350,EUR,0,90,3,0.109370444
Winsen (Luhe),Rottorf,53.336514,10.310144,u1rr6teeeybe,1050,EUR,0,70,2,0.109370444
Schwarzenbek,Sachsenwaldring 19,53.496113,10.475574,u1x2q6sj6w60,470.25,EUR,80,49.5,2,0.093661833
Schwarzenbek,Kollower Str. 37,53.497581,10.476931,u1x2q6vjfpvv,305,EUR,70,27.21,1,0.178960993
Schwarzenbek,Finkhuette 10,53.508427,10.487744,u1x2qsuvnju8,695,EUR,53,69.16,2.5,0.146894186
Schwarzenbek,Verbrüderungsring 40 A,53.55167,10.509188,u1x2xhu91ffd,750,EUR,50,79.78,3,4.603848682
Reppenstedt,Reppenstedt,53.245457,10.33934,u1rqgm0ck0dd,268,EUR,48,38.3,1,0.504801401
Glückstadt,Carl-Legien-Straße 16,53.794392,9.420779,u1wdn2up013z,380,EUR,69,50.1,3,0.004913256
Glückstadt,Carl-Legien-Straße 20,53.79475,9.421082,u1wdn3h1ph5z,300,EUR,69,37.47,2,0.009972318
Lüneburg,Weststadt,53.250542,10.388272,u1rqumuwbk90,227.54,EUR,33,21.67,1,0.063964542
Lüneburg,Schützenplatz,53.250515,10.424467,u1rqvjyyexmz,529.6,EUR,69,52.96,3,0.323072557
Lüneburg,Neu Hagen,53.246975,10.432796,u1rqvmkfjg8d,753.65,EUR,55,77.06,3,0.83329481
Lüneburg,Kaltenmoor,53.237343,10.437161,u1rqve8452p2,534.87,EUR,54,55.89,2,0.10271185
Lüneburg,Kaltenmoor,53.23727,10.438543,u1rqve91edmv,540.21,EUR,53,57.53,2,0.047103858
Lüneburg,Kaltenmoor,53.23727,10.438543,u1rqve91edmv,522.13,EUR,53,57.63,2,0.047103858
Reinfeld,Am Zuschlag 32,53.827023,10.4955,u1x6nyft4uk5,685,EUR,1,57.44,2,0.088038282
Bad Segeberg,Burgfeldstraße 51 C,53.928246,10.299465,u1x6f37ffctt,970,EUR,0,82.8,3,
Hamburg,Ottensen,53.601575,9.872379,u1x0btugg1g3,3330,EUR,,106,4,6.046014551
Hamburg,Othmarschen,53.557945,9.904487,u1x09mujxk8f,1860,EUR,9,98.2,3,1.144063854
Hamburg,HafenCity,53.49137,10.030394,u1x0k1zcv45g,2650,EUR,13,88,2,6.169952621
Hamburg,Rotherbaum,53.574063,9.947739,u1x0f2gex15y,3675,EUR,,107,3,2.695327769
Hamburg,Rotherbaum,53.570419,9.986504,u1x0g0pyq3vh,2415,EUR,123,110.21,3,0.232012995
Hamburg,Rotherbaum,53.570419,9.986504,u1x0g0pyq3vh,2415,EUR,123,115,3,0.232012995
Hamburg,Stellingen,53.582764,9.935826,u1x0f47n1x0v,1190,EUR,64,50,2,1.633255769
Hamburg,Harvestehude,53.577099,9.988485,u1x0g33mhx4h,2574.74,EUR,0,117.5,3,0.562511202
Hamburg,St. Georg,53.55682,10.011383,u1x0evdp44u5,900,EUR,63,45,1.5,0.19325156
Hamburg,Wilhelmsburg,53.530305,9.950877,u1x0d2yh8hpe,520,EUR,,40,1,5.182118283
Hamburg,Harvestehude,53.582478,9.984225,u1x0g4qk93cg,2840,EUR,115,142,4,0.822241424
Hamburg,Kleiner Grasbrook,53.502956,9.979456,u1x075fv61vs,595.47,EUR,,52,3,3.090772728
Hamburg,Kleiner Grasbrook,53.543979,10.023511,u1x0s56uk9pe,698.19,EUR,,50,2,2.419585743
Hamburg,Hohenfelde,53.561825,10.018703,u1x0eyxkhxy7,1300,EUR,133,60,2.5,0.164487707
Hamburg,Harvestehude,53.58387,9.993485,u1x0g6th9j6e,4000,EUR,116,255,6.5,1.27347358
Hamburg,Uhlenhorst,53.572708,10.013741,u1x0gbeg9hd7,650,EUR,64,21,1,0.148891494
Hamburg,Hohenfelde,53.562119,10.022671,u1x0sndmcntj,1300,EUR,58,40,2,0.101191463
Hamburg,Uhlenhorst,53.573864,10.014086,u1x0gbu43h5d,2100,EUR,53,115,3,0.276585685
Hamburg,Uhlenhorst,53.573864,10.014086,u1x0gbu43h5d,2100,EUR,53,115,3,0.276585685
Hamburg,Eppendorf,53.551541,10.043046,u1x0ssc07fvc,5800,EUR,,210,5,5.693643327
Hamburg,Winterhude,53.623404,9.954767,u1x149bffzh2,3350,EUR,118,214,4,4.415839109
Hamburg,Eppendorf,53.569583,9.97129,u1x0fbhc7yh9,1145.45,EUR,9,56,1,2.532264768
Hamburg,Winterhude,53.58783,10.00326,u1x0gek5sze3,965,EUR,68,23.3,1,0.952587219
Hamburg,Winterhude,53.58783,10.00326,u1x0gek5sze3,965,EUR,68,23.3,1,0.952587219
Hamburg,Hohenfelde,53.561085,10.032858,u1x0sq3xytcj,1080,EUR,68,46,2,0.775584382
Hamburg,Hohenfelde,53.561085,10.032858,u1x0sq3xytcj,1080,EUR,68,46,2,0.775584382
Hamburg,Hohenfelde,53.561085,10.032858,u1x0sq3xytcj,1350,EUR,71,50.23,2,0.775584382
Hamburg,Hohenfelde,53.561085,10.032858,u1x0sq3xytcj,1080,EUR,68,46,2,0.775584382
Hamburg,Hohenfelde,53.561085,10.032858,u1x0sq3xytcj,1350,EUR,71,50.23,2,0.775584382
Hamburg,Barmbek-Süd,53.577991,10.021849,u1x0u19dqj2j,1000,EUR,103,50,2,1.4285037
Hamburg,Barmbek-Süd,53.577991,10.021849,u1x0u19dqj2j,1220,EUR,103,56,2,1.4285037
Hamburg,Winterhude,53.59462,10.002813,u1x0gseg63mc,900,EUR,55,40,1.5,0.207990137
Hamburg,Wilhelmsburg,53.486953,9.980896,u1x0715b5dxq,500,EUR,,39,2,1.174648303
Hamburg,Niendorf,53.64463,9.901816,u1x11mdq95c4,750,EUR,37,83,2,4.10355476
Hamburg,Rothenburgsort,53.534996,10.050065,u1x0s9wpzqxd,438,EUR,62,49,2,0.929907684
Hamburg,Hamm,53.561192,10.055205,u1x0sy9bx3b7,3000,EUR,110,125,4,0.89949055
Hamburg,Eilbek,53.567616,10.055536,u1x0szdjyzrh,1100,EUR,,53,2.5,0.590168554
Hamburg,Iserbrook,53.571594,9.832941,u1wbzb2jhhuj,1240,EUR,4,81,3,0.792387111
Hamburg,Alsterdorf,53.608997,10.004369,u1x0gxhzn9q5,1980,EUR,48,103,3,0.174603808
Hamburg,Barmbek-Nord,53.590591,10.044422,u1x0uef5gfpz,1320,EUR,79,88,3,0.954630286
Hamburg,Eidelstedt,53.616837,9.901032,u1x1129swybd,1120,EUR,6,79.01,3,1.649782722
Hamburg,Eidelstedt,53.616837,9.901032,u1x1129swybd,1465,EUR,6,100.13,3,1.649782722
Hamburg,Eidelstedt,53.616837,9.901032,u1x1129swybd,1655,EUR,6,112.98,3,1.649782722
Hamburg,Hausbruch,53.476906,9.898357,u1x01ppv83vc,810,EUR,33,82.22,3.5,1.031901803
Hamburg,Niendorf,53.591745,9.961357,u1x0fsjds3q5,775,EUR,63,62.03,1.5,4.035514646
Hamburg,Barmbek-Nord,53.594479,10.046,u1x0use62z08,1650,EUR,,105,4,0.510115396
